title,location,industry,skills,skill_categories,description,min_salary,max_salary,med_salary
Lead Sales Manager,San Francisco,Hospitality,"['Customer Service', 'Machine Learning', 'Data Analysis']","['Data & AI', 'Business']","Join our growing Hospitality company as a Lead Sales Manager. Required technical skills: Customer Service, Machine Learning and Data Analysis. Position located in San Francisco with excellent benefits. This role focuses on Data & AI and Business skills.",224033.51,340755.71,282394.61
Lead HR Generalist,Seattle,Finance,"['EHR Systems', 'Docker', 'Healthcare IT', 'Java', 'Python', 'Node.js']","['Software Engineering', 'Healthcare']","Join our growing Finance company as a Lead HR Generalist. Required technical skills: EHR Systems, Docker, Healthcare IT, Java, Python and Node.js. Position located in Seattle with excellent benefits. Strong background in Software Engineering and Healthcare is essential.",299705.34,443682.35,371693.845
Lead Sales Manager,New York,Transportation,"['Manufacturing Processes', 'Retail Sales', 'Business Development', 'Machine Learning', 'Marketing Strategy']","['Data & AI', 'Operations', 'Business']","Exciting opportunity for a Lead Sales Manager in New York. Our Transportation division is expanding and needs someone skilled in Manufacturing Processes, Retail Sales, Business Development, Machine Learning and Marketing Strategy. Competitive salary and comprehensive benefits package. This role focuses on Data & AI and Operations and Business skills.",243923.47,360264.27,302093.87
Entry Level Quality Assurance Engineer,Chicago,Real Estate,"['Real Estate Law', 'Retail Sales', 'Business Development', 'Customer Service', 'Marketing Strategy']",['Business'],"Join our growing Real Estate company as a Entry Level Quality Assurance Engineer. Required technical skills: Real Estate Law, Retail Sales, Business Development, Customer Service and Marketing Strategy. Position located in Chicago with excellent benefits. This role focuses on Business skills.",60516.33,93006.47,76761.4
Senior Financial Analyst,New York,Manufacturing,"['Transportation Planning', 'Supply Chain Management', 'Logistics', 'Manufacturing Processes']",['Operations'],"Join our growing Manufacturing company as a Senior Financial Analyst. Required technical skills: Transportation Planning, Supply Chain Management, Logistics and Manufacturing Processes. Position located in New York with excellent benefits. Expert knowledge of Operations is required.",155644.86,229390.87,192517.865
Mid Level Project Manager,New York,Healthcare,"['Real Estate Law', 'Retail Sales', 'Investment Banking']","['Finance', 'Business']","Join our growing Healthcare company as a Mid Level Project Manager. Required technical skills: Real Estate Law, Retail Sales and Investment Banking. Position located in New York with excellent benefits. This role focuses on Finance and Business skills.",130448.65,186559.31,158503.97999999998
Executive Operations Manager,Austin,Technology,"['Equity Research', 'React', 'SQL', 'Manufacturing Processes']","['Software Engineering', 'Finance', 'Operations']","We are seeking a Executive Operations Manager to join our Technology team. The ideal candidate will have experience with Equity Research, React, SQL and Manufacturing Processes. This position is based in Austin and offers competitive compensation. Strong background in Software Engineering and Finance and Operations is essential.",337069.7,599678.48,468374.08999999997
Entry Level Sales Manager,Austin,Consulting,"['Supply Chain Management', 'Manufacturing Processes', 'Transportation Planning']",['Operations'],"Exciting opportunity for a Entry Level Sales Manager in Austin. Our Consulting division is expanding and needs someone skilled in Supply Chain Management, Manufacturing Processes and Transportation Planning. Competitive salary and comprehensive benefits package. This role focuses on Operations skills.",63495.93,99738.02,81616.975
Senior Quality Assurance Engineer,Chicago,Manufacturing,"['Agile Methodologies', 'Clinical Trials', 'Project Management', 'EHR Systems', 'Risk Management', 'Kanban']","['Product & Management', 'Healthcare']","We are seeking a Senior Quality Assurance Engineer to join our Manufacturing team. The ideal candidate will have experience with Agile Methodologies, Clinical Trials, Project Management, EHR Systems, Risk Management and Kanban. This position is based in Chicago and offers competitive compensation. Strong background in Product & Management and Healthcare is essential.",176154.89,265187.65,220671.27000000002
Executive Data Scientist,New York,Hospitality,"['Machine Learning', 'UI Design', 'Risk Management']","['Data & AI', 'Product & Management', 'Design']","We are seeking a Executive Data Scientist to join our Hospitality team. The ideal candidate will have experience with Machine Learning, UI Design and Risk Management. This position is based in New York and offers competitive compensation. This role focuses on Data & AI and Product & Management and Design skills.",298229.16,516595.18,407412.17
Entry Level Supply Chain Analyst,San Francisco,Transportation,"['Risk Management', 'Healthcare IT', 'Agile Methodologies', 'Kanban', 'Project Management']","['Product & Management', 'Healthcare']","Join our growing Transportation company as a Entry Level Supply Chain Analyst. Required technical skills: Risk Management, Healthcare IT, Agile Methodologies, Kanban and Project Management. Position located in San Francisco with excellent benefits. This role focuses on Product & Management and Healthcare skills.",77455.24,120605.75,99030.495
Mid Level Product Manager,New York,Finance,"['Node.js', 'Data Analysis', 'EHR Systems']","['Software Engineering', 'Data & AI', 'Healthcare']","Join our growing Finance company as a Mid Level Product Manager. Required technical skills: Node.js, Data Analysis and EHR Systems. Position located in New York with excellent benefits. Expert knowledge of Software Engineering and Data & AI and Healthcare is required.",156451.07,227367.64,191909.355
Entry Level Quality Assurance Engineer,New York,Technology,"['Node.js', 'Python', 'Customer Service']","['Software Engineering', 'Business']","We are seeking a Entry Level Quality Assurance Engineer to join our Technology team. The ideal candidate will have experience with Node.js, Python and Customer Service. This position is based in New York and offers competitive compensation. Expert knowledge of Software Engineering and Business is required.",100581.51,157226.82,128904.16500000001
Senior Software Engineer,Seattle,Finance,"['UX Design', 'Scrum', 'Risk Management']","['Product & Management', 'Design']","Exciting opportunity for a Senior Software Engineer in Seattle. Our Finance division is expanding and needs someone skilled in UX Design, Scrum and Risk Management. Competitive salary and comprehensive benefits package. This role focuses on Product & Management and Design skills.",196966.51,288610.94,242788.725
Senior Data Scientist,Chicago,Finance,"['Manufacturing Processes', 'Logistics', 'Transportation Planning', 'Machine Learning', 'Data Analysis']","['Data & AI', 'Operations']","Exciting opportunity for a Senior Data Scientist in Chicago. Our Finance division is expanding and needs someone skilled in Manufacturing Processes, Logistics, Transportation Planning, Machine Learning and Data Analysis. Competitive salary and comprehensive benefits package. This role focuses on Data & AI and Operations skills.",229719.62,343484.6,286602.11
Lead Supply Chain Analyst,New York,Healthcare,"['Scrum', 'Risk Management', 'Kanban', 'Project Management', 'Agile Methodologies', 'Docker']","['Software Engineering', 'Product & Management']","Exciting opportunity for a Lead Supply Chain Analyst in New York. Our Healthcare division is expanding and needs someone skilled in Scrum, Risk Management, Kanban, Project Management, Agile Methodologies and Docker. Competitive salary and comprehensive benefits package. Expert knowledge of Software Engineering and Product & Management is required.",262724.07,371308.06,317016.065
Executive Operations Manager,Chicago,Education,"['Project Management', 'Scrum', 'Risk Management']",['Product & Management'],"We are seeking a Executive Operations Manager to join our Education team. The ideal candidate will have experience with Project Management, Scrum and Risk Management. This position is based in Chicago and offers competitive compensation. Expert knowledge of Product & Management is required.",214489.72,366962.6,290726.16
Lead UX Designer,San Francisco,Hospitality,"['Equity Research', 'Financial Modeling', 'UX Design', 'Investment Banking']","['Design', 'Finance']","Exciting opportunity for a Lead UX Designer in San Francisco. Our Hospitality division is expanding and needs someone skilled in Equity Research, Financial Modeling, UX Design and Investment Banking. Competitive salary and comprehensive benefits package. Strong background in Design and Finance is essential.",224734.59,313008.88,268871.735
Lead Quality Assurance Engineer,San Francisco,Hospitality,"['Financial Modeling', 'Scrum', 'Risk Management', 'Equity Research', 'Healthcare IT']","['Product & Management', 'Finance', 'Healthcare']","Join our growing Hospitality company as a Lead Quality Assurance Engineer. Required technical skills: Financial Modeling, Scrum, Risk Management, Equity Research and Healthcare IT. Position located in San Francisco with excellent benefits. Expert knowledge of Product & Management and Finance and Healthcare is required.",236603.55,321068.62,278836.08499999996
Mid Level Quality Assurance Engineer,Seattle,Hospitality,"['Docker', 'React', 'Financial Modeling']","['Software Engineering', 'Finance']","We are seeking a Mid Level Quality Assurance Engineer to join our Hospitality team. The ideal candidate will have experience with Docker, React and Financial Modeling. This position is based in Seattle and offers competitive compensation. Expert knowledge of Software Engineering and Finance is required.",111721.16,166555.85,139138.505
Executive Data Scientist,Seattle,Education,"['Marketing Strategy', 'Project Management', 'SQL', 'EHR Systems', 'Equity Research', 'UX Design']","['Software Engineering', 'Product & Management', 'Design', 'Finance', 'Healthcare', 'Business']","Exciting opportunity for a Executive Data Scientist in Seattle. Our Education division is expanding and needs someone skilled in Marketing Strategy, Project Management, SQL, EHR Systems, Equity Research and UX Design. Competitive salary and comprehensive benefits package. Strong background in Software Engineering and Product & Management and Design and Finance and Healthcare and Business is essential.",280778.42,451494.81,366136.615
Mid Level Quality Assurance Engineer,Austin,Manufacturing,"['Agile Methodologies', 'Business Development', 'Real Estate Law']","['Product & Management', 'Business']","Exciting opportunity for a Mid Level Quality Assurance Engineer in Austin. Our Manufacturing division is expanding and needs someone skilled in Agile Methodologies, Business Development and Real Estate Law. Competitive salary and comprehensive benefits package. Strong background in Product & Management and Business is essential.",91004.8,140329.86,115667.32999999999
Mid Level Customer Success Manager,New York,Manufacturing,"['Transportation Planning', 'Docker', 'Node.js', 'Supply Chain Management', 'Python', 'Manufacturing Processes']","['Software Engineering', 'Operations']","We are seeking a Mid Level Customer Success Manager to join our Manufacturing team. The ideal candidate will have experience with Transportation Planning, Docker, Node.js, Supply Chain Management, Python and Manufacturing Processes. This position is based in New York and offers competitive compensation. Expert knowledge of Software Engineering and Operations is required.",134200.03,210354.06,172277.04499999998
Mid Level Quality Assurance Engineer,Chicago,Transportation,"['Marketing Strategy', 'Business Development', 'Real Estate Law', 'Customer Service']",['Business'],"Join our growing Transportation company as a Mid Level Quality Assurance Engineer. Required technical skills: Marketing Strategy, Business Development, Real Estate Law and Customer Service. Position located in Chicago with excellent benefits. Expert knowledge of Business is required.",91182.1,128201.09,109691.595
Entry Level Software Engineer,Seattle,Real Estate,"['Customer Service', 'Marketing Strategy', 'Retail Sales', 'Business Development']",['Business'],"Join our growing Real Estate company as a Entry Level Software Engineer. Required technical skills: Customer Service, Marketing Strategy, Retail Sales and Business Development. Position located in Seattle with excellent benefits. Expert knowledge of Business is required.",62864.8,100981.89,81923.345
Mid Level UX Designer,Seattle,Finance,"['Risk Management', 'Kanban', 'Data Analysis', 'Machine Learning']","['Data & AI', 'Product & Management']","Join our growing Finance company as a Mid Level UX Designer. Required technical skills: Risk Management, Kanban, Data Analysis and Machine Learning. Position located in Seattle with excellent benefits. Expert knowledge of Data & AI and Product & Management is required.",149874.2,227047.47,188460.83500000002
Executive Operations Manager,Seattle,Retail,"['Transportation Planning', 'Logistics', 'UX Design', 'Manufacturing Processes', 'UI Design']","['Design', 'Operations']","We are seeking a Executive Operations Manager to join our Retail team. The ideal candidate will have experience with Transportation Planning, Logistics, UX Design, Manufacturing Processes and UI Design. This position is based in Seattle and offers competitive compensation. Strong background in Design and Operations is essential.",252119.22,475811.05,363965.135
Executive Product Manager,San Francisco,Healthcare,"['Docker', 'React', 'Manufacturing Processes']","['Software Engineering', 'Operations']","Exciting opportunity for a Executive Product Manager in San Francisco. Our Healthcare division is expanding and needs someone skilled in Docker, React and Manufacturing Processes. Competitive salary and comprehensive benefits package. This role focuses on Software Engineering and Operations skills.",342878.65,637372.78,490125.715
Lead UX Designer,San Francisco,Finance,"['Business Development', 'Retail Sales', 'Customer Service']",['Business'],"Join our growing Finance company as a Lead UX Designer. Required technical skills: Business Development, Retail Sales and Customer Service. Position located in San Francisco with excellent benefits. Strong background in Business is essential.",249469.26,369788.79,309629.025
Lead Supply Chain Analyst,Chicago,Education,"['Marketing Strategy', 'SQL', 'Retail Sales', 'Customer Service', 'Node.js', 'Business Development']","['Software Engineering', 'Business']","We are seeking a Lead Supply Chain Analyst to join our Education team. The ideal candidate will have experience with Marketing Strategy, SQL, Retail Sales, Customer Service, Node.js and Business Development. This position is based in Chicago and offers competitive compensation. This role focuses on Software Engineering and Business skills.",187330.55,273372.15,230351.35
Entry Level Marketing Specialist,Seattle,Consulting,"['Transportation Planning', 'Manufacturing Processes', 'Python', 'AWS', 'Docker']","['Software Engineering', 'Operations']","Exciting opportunity for a Entry Level Marketing Specialist in Seattle. Our Consulting division is expanding and needs someone skilled in Transportation Planning, Manufacturing Processes, Python, AWS and Docker. Competitive salary and comprehensive benefits package. Strong background in Software Engineering and Operations is essential.",86948.21,140087.1,113517.655
Mid Level Sales Manager,San Francisco,Transportation,"['Business Development', 'Clinical Trials', 'EHR Systems', 'Healthcare IT', 'Real Estate Law']","['Healthcare', 'Business']","Join our growing Transportation company as a Mid Level Sales Manager. Required technical skills: Business Development, Clinical Trials, EHR Systems, Healthcare IT and Real Estate Law. Position located in San Francisco with excellent benefits. Strong background in Healthcare and Business is essential.",115281.06,172408.35,143844.70500000002
Entry Level UX Designer,Seattle,Real Estate,"['Marketing Strategy', 'Customer Service', 'AWS', 'Project Management', 'Financial Modeling', 'Investment Banking']","['Software Engineering', 'Product & Management', 'Finance', 'Business']","We are seeking a Entry Level UX Designer to join our Real Estate team. The ideal candidate will have experience with Marketing Strategy, Customer Service, AWS, Project Management, Financial Modeling and Investment Banking. This position is based in Seattle and offers competitive compensation. Expert knowledge of Software Engineering and Product & Management and Finance and Business is required.",80841.13,133608.36,107224.745
Lead Supply Chain Analyst,Chicago,Retail,"['Customer Service', 'Python', 'Docker', 'Machine Learning', 'Equity Research', 'Agile Methodologies']","['Software Engineering', 'Data & AI', 'Product & Management', 'Finance', 'Business']","Join our growing Retail company as a Lead Supply Chain Analyst. Required technical skills: Customer Service, Python, Docker, Machine Learning, Equity Research and Agile Methodologies. Position located in Chicago with excellent benefits. Strong background in Software Engineering and Data & AI and Product & Management and Finance and Business is essential.",225396.71,338697.32,282047.015
Executive Software Engineer,Chicago,Consulting,"['Agile Methodologies', 'Scrum', 'UX Design', 'Kanban', 'Risk Management']","['Product & Management', 'Design']","We are seeking a Executive Software Engineer to join our Consulting team. The ideal candidate will have experience with Agile Methodologies, Scrum, UX Design, Kanban and Risk Management. This position is based in Chicago and offers competitive compensation. This role focuses on Product & Management and Design skills.",328385.0,553133.03,440759.015
Lead Sales Manager,Chicago,Healthcare,"['Retail Sales', 'Business Development', 'Logistics', 'Real Estate Law']","['Operations', 'Business']","Exciting opportunity for a Lead Sales Manager in Chicago. Our Healthcare division is expanding and needs someone skilled in Retail Sales, Business Development, Logistics and Real Estate Law. Competitive salary and comprehensive benefits package. This role focuses on Operations and Business skills.",188738.06,279592.7,234165.38
Executive Marketing Specialist,Chicago,Consulting,"['Equity Research', 'Investment Banking', 'Machine Learning', 'Data Analysis']","['Data & AI', 'Finance']","Join our growing Consulting company as a Executive Marketing Specialist. Required technical skills: Equity Research, Investment Banking, Machine Learning and Data Analysis. Position located in Chicago with excellent benefits. Expert knowledge of Data & AI and Finance is required.",339398.61,606906.44,473152.52499999997
Mid Level Business Analyst,San Francisco,Retail,"['Financial Modeling', 'Equity Research', 'Marketing Strategy', 'Investment Banking', 'Business Development', 'Customer Service']","['Finance', 'Business']","We are seeking a Mid Level Business Analyst to join our Retail team. The ideal candidate will have experience with Financial Modeling, Equity Research, Marketing Strategy, Investment Banking, Business Development and Customer Service. This position is based in San Francisco and offers competitive compensation. Strong background in Finance and Business is essential.",127700.04,199612.11,163656.07499999998
Executive Marketing Specialist,Chicago,Hospitality,"['Kanban', 'UX Design', 'Python', 'Java']","['Software Engineering', 'Product & Management', 'Design']","Exciting opportunity for a Executive Marketing Specialist in Chicago. Our Hospitality division is expanding and needs someone skilled in Kanban, UX Design, Python and Java. Competitive salary and comprehensive benefits package. This role focuses on Software Engineering and Product & Management and Design skills.",266717.74,475261.43,370989.58499999996
Senior Project Manager,Chicago,Transportation,"['Equity Research', 'Clinical Trials', 'SQL', 'Kanban', 'Agile Methodologies', 'Logistics']","['Software Engineering', 'Product & Management', 'Finance', 'Healthcare', 'Operations']","Join our growing Transportation company as a Senior Project Manager. Required technical skills: Equity Research, Clinical Trials, SQL, Kanban, Agile Methodologies and Logistics. Position located in Chicago with excellent benefits. Expert knowledge of Software Engineering and Product & Management and Finance and Healthcare and Operations is required.",173785.36,253876.85,213831.10499999998
Executive Supply Chain Analyst,Austin,Real Estate,"['Marketing Strategy', 'Business Development', 'Python', 'Node.js', 'SQL']","['Software Engineering', 'Business']","We are seeking a Executive Supply Chain Analyst to join our Real Estate team. The ideal candidate will have experience with Marketing Strategy, Business Development, Python, Node.js and SQL. This position is based in Austin and offers competitive compensation. Strong background in Software Engineering and Business is essential.",259785.83,468356.9,364071.365
Lead Financial Analyst,San Francisco,Technology,"['React', 'Java', 'Docker']",['Software Engineering'],"Join our growing Technology company as a Lead Financial Analyst. Required technical skills: React, Java and Docker. Position located in San Francisco with excellent benefits. This role focuses on Software Engineering skills.",303555.62,478674.98,391115.3
Entry Level Marketing Specialist,Austin,Manufacturing,"['Risk Management', 'Scrum', 'EHR Systems', 'Clinical Trials']","['Product & Management', 'Healthcare']","Join our growing Manufacturing company as a Entry Level Marketing Specialist. Required technical skills: Risk Management, Scrum, EHR Systems and Clinical Trials. Position located in Austin with excellent benefits. Expert knowledge of Product & Management and Healthcare is required.",58968.21,96437.62,77702.915
Lead Data Scientist,Seattle,Finance,"['Agile Methodologies', 'Scrum', 'Risk Management', 'Machine Learning']","['Data & AI', 'Product & Management']","We are seeking a Lead Data Scientist to join our Finance team. The ideal candidate will have experience with Agile Methodologies, Scrum, Risk Management and Machine Learning. This position is based in Seattle and offers competitive compensation. Expert knowledge of Data & AI and Product & Management is required.",280344.62,406604.7,343474.66000000003
Entry Level Quality Assurance Engineer,Austin,Technology,"['Java', 'SQL', 'Data Analysis', 'AWS', 'Docker', 'Machine Learning']","['Software Engineering', 'Data & AI']","We are seeking a Entry Level Quality Assurance Engineer to join our Technology team. The ideal candidate will have experience with Java, SQL, Data Analysis, AWS, Docker and Machine Learning. This position is based in Austin and offers competitive compensation. Expert knowledge of Software Engineering and Data & AI is required.",90993.97,150619.37,120806.67
Senior Product Manager,Chicago,Transportation,"['Project Management', 'Kanban', 'EHR Systems', 'UX Design', 'UI Design', 'Healthcare IT']","['Product & Management', 'Design', 'Healthcare']","We are seeking a Senior Product Manager to join our Transportation team. The ideal candidate will have experience with Project Management, Kanban, EHR Systems, UX Design, UI Design and Healthcare IT. This position is based in Chicago and offers competitive compensation. Strong background in Product & Management and Design and Healthcare is essential.",157820.61,247881.83,202851.21999999997
Mid Level Product Manager,San Francisco,Technology,"['EHR Systems', 'Business Development', 'Retail Sales', 'Healthcare IT', 'Customer Service', 'Clinical Trials']","['Healthcare', 'Business']","Join our growing Technology company as a Mid Level Product Manager. Required technical skills: EHR Systems, Business Development, Retail Sales, Healthcare IT, Customer Service and Clinical Trials. Position located in San Francisco with excellent benefits. Expert knowledge of Healthcare and Business is required.",159369.82,251228.99,205299.405
Senior Customer Success Manager,Austin,Real Estate,"['Marketing Strategy', 'Real Estate Law', 'Business Development']",['Business'],"Join our growing Real Estate company as a Senior Customer Success Manager. Required technical skills: Marketing Strategy, Real Estate Law and Business Development. Position located in Austin with excellent benefits. Expert knowledge of Business is required.",126595.15,187236.59,156915.87
Entry Level Financial Analyst,Austin,Technology,"['EHR Systems', 'Agile Methodologies', 'Risk Management', 'Marketing Strategy']","['Product & Management', 'Healthcare', 'Business']","Exciting opportunity for a Entry Level Financial Analyst in Austin. Our Technology division is expanding and needs someone skilled in EHR Systems, Agile Methodologies, Risk Management and Marketing Strategy. Competitive salary and comprehensive benefits package. Strong background in Product & Management and Healthcare and Business is essential.",77108.48,119895.94,98502.20999999999
Lead Business Analyst,New York,Finance,"['Healthcare IT', 'AWS', 'Manufacturing Processes', 'Scrum', 'Investment Banking', 'Retail Sales']","['Software Engineering', 'Product & Management', 'Finance', 'Healthcare', 'Operations', 'Business']","Exciting opportunity for a Lead Business Analyst in New York. Our Finance division is expanding and needs someone skilled in Healthcare IT, AWS, Manufacturing Processes, Scrum, Investment Banking and Retail Sales. Competitive salary and comprehensive benefits package. This role focuses on Software Engineering and Product & Management and Finance and Healthcare and Operations and Business skills.",290190.97,428616.19,359403.57999999996
Lead Supply Chain Analyst,Austin,Hospitality,"['Kanban', 'UI Design', 'Business Development', 'Marketing Strategy', 'Retail Sales']","['Product & Management', 'Design', 'Business']","Exciting opportunity for a Lead Supply Chain Analyst in Austin. Our Hospitality division is expanding and needs someone skilled in Kanban, UI Design, Business Development, Marketing Strategy and Retail Sales. Competitive salary and comprehensive benefits package. Expert knowledge of Product & Management and Design and Business is required.",163891.56,257966.82,210929.19
Lead Quality Assurance Engineer,New York,Hospitality,"['Kanban', 'Risk Management', 'Financial Modeling', 'Scrum', 'Agile Methodologies']","['Product & Management', 'Finance']","Join our growing Hospitality company as a Lead Quality Assurance Engineer. Required technical skills: Kanban, Risk Management, Financial Modeling, Scrum and Agile Methodologies. Position located in New York with excellent benefits. This role focuses on Product & Management and Finance skills.",210685.51,315881.25,263283.38
Executive Customer Success Manager,San Francisco,Technology,"['Scrum', 'Logistics', 'Agile Methodologies']","['Product & Management', 'Operations']","Exciting opportunity for a Executive Customer Success Manager in San Francisco. Our Technology division is expanding and needs someone skilled in Scrum, Logistics and Agile Methodologies. Competitive salary and comprehensive benefits package. Expert knowledge of Product & Management and Operations is required.",379597.66,697905.2,538751.4299999999
Senior Sales Manager,Seattle,Manufacturing,"['Customer Service', 'Project Management', 'Marketing Strategy', 'Machine Learning']","['Data & AI', 'Product & Management', 'Business']","We are seeking a Senior Sales Manager to join our Manufacturing team. The ideal candidate will have experience with Customer Service, Project Management, Marketing Strategy and Machine Learning. This position is based in Seattle and offers competitive compensation. This role focuses on Data & AI and Product & Management and Business skills.",182103.64,280668.54,231386.09
Executive Sales Manager,San Francisco,Healthcare,"['UX Design', 'Marketing Strategy', 'EHR Systems', 'Kanban', 'Customer Service', 'Node.js']","['Software Engineering', 'Product & Management', 'Design', 'Healthcare', 'Business']","We are seeking a Executive Sales Manager to join our Healthcare team. The ideal candidate will have experience with UX Design, Marketing Strategy, EHR Systems, Kanban, Customer Service and Node.js. This position is based in San Francisco and offers competitive compensation. Strong background in Software Engineering and Product & Management and Design and Healthcare and Business is essential.",398569.33,673623.0,536096.165
Entry Level Quality Assurance Engineer,Seattle,Consulting,"['Financial Modeling', 'Clinical Trials', 'Retail Sales', 'Business Development', 'Equity Research', 'Marketing Strategy']","['Finance', 'Healthcare', 'Business']","Join our growing Consulting company as a Entry Level Quality Assurance Engineer. Required technical skills: Financial Modeling, Clinical Trials, Retail Sales, Business Development, Equity Research and Marketing Strategy. Position located in Seattle with excellent benefits. Expert knowledge of Finance and Healthcare and Business is required.",88322.22,143749.29,116035.755
Mid Level Business Analyst,Austin,Healthcare,"['Data Analysis', 'UI Design', 'Machine Learning', 'UX Design']","['Data & AI', 'Design']","We are seeking a Mid Level Business Analyst to join our Healthcare team. The ideal candidate will have experience with Data Analysis, UI Design, Machine Learning and UX Design. This position is based in Austin and offers competitive compensation. Expert knowledge of Data & AI and Design is required.",117231.66,177877.19,147554.425
Lead Operations Manager,Austin,Manufacturing,"['Node.js', 'Project Management', 'UX Design', 'Data Analysis']","['Software Engineering', 'Data & AI', 'Product & Management', 'Design']","We are seeking a Lead Operations Manager to join our Manufacturing team. The ideal candidate will have experience with Node.js, Project Management, UX Design and Data Analysis. This position is based in Austin and offers competitive compensation. Expert knowledge of Software Engineering and Data & AI and Product & Management and Design is required.",207346.39,298607.12,252976.755
Mid Level Supply Chain Analyst,Austin,Technology,"['Real Estate Law', 'Retail Sales', 'Marketing Strategy']",['Business'],"Exciting opportunity for a Mid Level Supply Chain Analyst in Austin. Our Technology division is expanding and needs someone skilled in Real Estate Law, Retail Sales and Marketing Strategy. Competitive salary and comprehensive benefits package. Expert knowledge of Business is required.",102449.67,153541.01,127995.34
Senior Software Engineer,Seattle,Education,"['Python', 'Customer Service', 'Logistics', 'EHR Systems', 'Node.js']","['Software Engineering', 'Healthcare', 'Operations', 'Business']","Exciting opportunity for a Senior Software Engineer in Seattle. Our Education division is expanding and needs someone skilled in Python, Customer Service, Logistics, EHR Systems and Node.js. Competitive salary and comprehensive benefits package. Strong background in Software Engineering and Healthcare and Operations and Business is essential.",153594.8,244973.21,199284.005
Executive Business Analyst,Austin,Technology,"['Docker', 'Business Development', 'Real Estate Law', 'EHR Systems']","['Software Engineering', 'Healthcare', 'Business']","Join our growing Technology company as a Executive Business Analyst. Required technical skills: Docker, Business Development, Real Estate Law and EHR Systems. Position located in Austin with excellent benefits. Expert knowledge of Software Engineering and Healthcare and Business is required.",349894.44,584339.19,467116.81499999994
Senior Operations Manager,San Francisco,Real Estate,"['Business Development', 'Real Estate Law', 'Agile Methodologies', 'Retail Sales']","['Product & Management', 'Business']","Join our growing Real Estate company as a Senior Operations Manager. Required technical skills: Business Development, Real Estate Law, Agile Methodologies and Retail Sales. Position located in San Francisco with excellent benefits. This role focuses on Product & Management and Business skills.",193954.28,280361.83,237158.055
Mid Level Product Manager,New York,Finance,"['Project Management', 'Kanban', 'Risk Management', 'Scrum', 'Agile Methodologies']",['Product & Management'],"Exciting opportunity for a Mid Level Product Manager in New York. Our Finance division is expanding and needs someone skilled in Project Management, Kanban, Risk Management, Scrum and Agile Methodologies. Competitive salary and comprehensive benefits package. Strong background in Product & Management is essential.",149548.78,211088.38,180318.58000000002
Executive Business Analyst,San Francisco,Real Estate,"['Financial Modeling', 'Marketing Strategy', 'Project Management', 'Retail Sales', 'Docker', 'Scrum']","['Software Engineering', 'Product & Management', 'Finance', 'Business']","Exciting opportunity for a Executive Business Analyst in San Francisco. Our Real Estate division is expanding and needs someone skilled in Financial Modeling, Marketing Strategy, Project Management, Retail Sales, Docker and Scrum. Competitive salary and comprehensive benefits package. This role focuses on Software Engineering and Product & Management and Finance and Business skills.",369855.07,635405.99,502630.53
Senior HR Generalist,San Francisco,Retail,"['Project Management', 'Data Analysis', 'Risk Management', 'Agile Methodologies']","['Data & AI', 'Product & Management']","Join our growing Retail company as a Senior HR Generalist. Required technical skills: Project Management, Data Analysis, Risk Management and Agile Methodologies. Position located in San Francisco with excellent benefits. Strong background in Data & AI and Product & Management is essential.",214335.13,315477.5,264906.315
Executive Data Scientist,Chicago,Real Estate,"['Project Management', 'Scrum', 'React', 'Python', 'AWS']","['Software Engineering', 'Product & Management']","We are seeking a Executive Data Scientist to join our Real Estate team. The ideal candidate will have experience with Project Management, Scrum, React, Python and AWS. This position is based in Chicago and offers competitive compensation. Expert knowledge of Software Engineering and Product & Management is required.",296673.71,550985.2,423829.45499999996
Mid Level Product Manager,New York,Manufacturing,"['Java', 'Kanban', 'Healthcare IT']","['Software Engineering', 'Product & Management', 'Healthcare']","Join our growing Manufacturing company as a Mid Level Product Manager. Required technical skills: Java, Kanban and Healthcare IT. Position located in New York with excellent benefits. Expert knowledge of Software Engineering and Product & Management and Healthcare is required.",121950.79,193806.53,157878.66
Executive Software Engineer,Chicago,Transportation,"['AWS', 'Clinical Trials', 'Manufacturing Processes']","['Software Engineering', 'Healthcare', 'Operations']","Join our growing Transportation company as a Executive Software Engineer. Required technical skills: AWS, Clinical Trials and Manufacturing Processes. Position located in Chicago with excellent benefits. Expert knowledge of Software Engineering and Healthcare and Operations is required.",274790.98,464093.64,369442.31
Mid Level Software Engineer,San Francisco,Technology,"['Manufacturing Processes', 'Agile Methodologies', 'Transportation Planning', 'Risk Management', 'Scrum', 'Logistics']","['Product & Management', 'Operations']","Join our growing Technology company as a Mid Level Software Engineer. Required technical skills: Manufacturing Processes, Agile Methodologies, Transportation Planning, Risk Management, Scrum and Logistics. Position located in San Francisco with excellent benefits. Expert knowledge of Product & Management and Operations is required.",175501.71,265284.85,220393.27999999997
Executive Financial Analyst,Chicago,Manufacturing,"['Healthcare IT', 'EHR Systems', 'Clinical Trials']",['Healthcare'],"Join our growing Manufacturing company as a Executive Financial Analyst. Required technical skills: Healthcare IT, EHR Systems and Clinical Trials. Position located in Chicago with excellent benefits. Strong background in Healthcare is essential.",239175.48,453516.26,346345.87
